y/delta,y^+,U,dU/dy,k,u'u',v'v',w'w',u'v',epsilon,b_11,b_22,b_33,b_12,phi_11,phi_22,phi_33,phi_12
0.006239394386376662,12.4460717514693,9.634970464936933,0.4333607034443959,5.119063200355328,8.37446781746414,0.2301738762346937,1.633484707011822,-0.5604360965034727,0.276376733008568,0.48463545213534837,-0.31085130222471985,-0.1737841499106284,-0.054740103273639144,-0.0721949311853548,0.003128940012356148,0.06906599117299866,0.1199778835886118
0.006707037697219698,13.37890622873129,10.02020864558344,0.3933319747414667,5.235311855471352,8.496520790418481,0.2636359381531335,1.71046698237109,-0.5999958232266929,0.27187378754966285,0.47812938607839434,-0.30815470544723983,-0.16997468063115428,-0.057302777732299325,-0.07459348567208224,0.007149545216856909,0.06744394045522537,0.1231232469039139
0.007191609067431326,14.34550806039785,10.38218446182184,0.3563683590177757,5.321980949912402,8.561670353339103,0.2989190540763812,1.78337249240932,-0.6364721126057385,0.26651171691836656,0.4710354190087834,-0.3052498943949338,-0.1657855246138495,-0.05979654179485692,-0.07657454413274373,0.01091783717815643,0.0656567069545873,0.1246231017384386
0.007693100238770012,15.34586077328899,10.72139784178753,0.3225291127580364,5.38247005510021,8.577221749073914,0.3357543654554794,1.851963995671029,-0.6698057957641788,0.2603984549414297,0.4634404212132885,-0.3021437157397034,-0.16129670547358488,-0.06222104246817852,-0.07816491013812796,0.0143975469585639,0.06376736317956402,0.1246627724566492
0.008211502664641435,16.37994731903119,11.03866893892108,0.2917688562814068,5.420217730972288,8.550505560353033,0.3738517447523043,1.91607815683924,-0.7000422605910194,0.2536624757834309,0.45542700663360264,-0.2988465503932279,-0.15658045624037467,-0.0645769501648271,-0.07939573031622663,0.01756353775910834,0.06183219255711832,0.1234611416213064
0.008746807510242927,17.44775007434545,11.33504248589985,0.2639664239440986,5.438546291832264,8.488557965959377,0.4129089019409194,1.97562571576423,-0.727302523815422,0.2464335489081918,0.44707355395451526,-0.2953720032476599,-0.15170155070685545,-0.06686552663049886,-0.08029958890843518,0.0204013527739831,0.05989823613445204,0.1212456825239343
0.00929900565271502,18.54925084134968,11.61170687435653,0.2389500450870606,5.440562489821921,8.397918181993614,0.4526202324571403,2.030586565193087,-0.7517580577751372,0.23883387470776396,0.43845434465991157,-0.29173651009089363,-0.14671783456901788,-0.0690882660737294,-0.08090825914402314,0.02290605942992439,0.05800219971409875,0.1182334468511443
0.009868087681296545,19.68443084786798,11.86992857883025,0.2165177978923429,5.429102274286675,8.284517199263737,0.4926849042943065,2.081002445015306,-0.7736104776618392,0.23097475488304214,0.4296396943162732,-0.2879588976160544,-0.14168079670021863,-0.07124662960631767,-0.08125140645308994,0.02508089829930043,0.05617050815378951,0.1146212834584909
0.01045404389748472,20.85327074775009,12.11100102540316,0.1964534824319286,5.406708792093514,8.153633566194614,0.5328138364397439,2.12697018155267,-0.793075883403072,0.22295412879825127,0.4206959550683333,-0.2840599345866778,-0.13663602048165552,-0.07334183455217935,-0.08135592407557272,0.02693581688983028,0.05442010718574244,0.1105840473707472
0.01105686431520103,22.05575062120218,12.33620644527957,0.1785385420780035,5.375631546819614,8.009892047644852,0.5727353805432862,2.168635665451089,-0.8103730671536189,0.2148544221139631,0.4116853661331272,-0.2800618827553883,-0.13162348337773885,-0.0753746848249914,-0.08124548508888234,0.02848579557445276,0.05275968951442961,0.1062739221052511
0.01167653866096097,23.2918499751255,12.54678896728672,0.1625605594172461,5.337834903035166,7.857284970466185,0.6121996449609443,2.206185190643201,-0.8257148932861215,0.2067441749445324,0.4026659166620558,-0.2759880186053676,-0.1266778980566883,-0.07734548822562952,-0.08094016098524555,0.02974907823611189,0.05119108274913369,0.1018177030513926
0.01231305637404945,24.56154774346627,12.74393698730225,0.1483188603050363,5.29501048942238,7.699206185971004,0.6509815026176924,2.239833290256061,-0.8393023483472505,0.19868322444018738,0.3936913063110436,-0.2718621139733216,-0.1218291923377223,-0.07925407796867348,-0.08045621169479186,0.03074553306947869,0.04971067862531321,0.0973157720145448
0.01296640660670023,25.86482228757359,12.92877283303747,0.1356278015346023,5.248594810406635,7.538496778490394,0.6888823938162864,2.269810448506589,-0.8513210741521087,0.19072474006643142,0.38481095583368935,-0.2677079213230171,-0.1171030345106723,-0.08109990434622182,-0.0798065050949718,0.03149543066375191,0.04831107443121985,0.09284452216747476
0.01363657822428155,27.20165139656971,13.10234790930714,0.1243183243743518,5.19979082299319,7.377497558642964,0.7257310664851644,2.296353020858251,-0.8619398839394341,0.18291406848527347,0.3760699686245141,-0.26354869283625587,-0.11252127578825827,-0.08288216904110672,-0.07900175514094293,0.03201910276075537,0.04698265238018758,0.08845965728917826
0.01432355980548528,28.5720122877274,13.26564170715517,0.1142381393934648,5.149589990963875,7.218101613968301,0.7613834116472581,2.319694956312192,-0.8713105190528847,0.17529045032916943,0.36750902757637977,-0.25940672820717003,-0.10810229936920965,-0.0845999895702179,-0.07805178705643699,0.03233707705627394,0.04571471000016305,0.08420032147102992
0.01502733964252179,29.97588160685862,13.41956313938889,0.1052508779394901,5.098796945436618,7.06181091756639,0.7957215774661732,2.340061395840674,-0.8795685350569137,0.16788688814562144,0.3591644257592948,-0.2553030071621433,-0.10386141859715128,-0.08625255569788089,-0.07696595858155876,0.03246960299834536,0.0444963555832134,0.08009315506635992
